"Module Name","Display Name","Description","Driver Type","Start Mode","State","Status","Accept Stop","Accept Pause","Paged Pool(bytes)","Code(bytes)","BSS(bytes)","Link Date","Path","Init(bytes)"
"i8042prt","i8042 Keyboard and PS/2 Mouse Port Driver","i8042 Keyboard and PS/2 Mouse Port Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","40,960","57,344","0","","C:\Windows\system32\drivers\i8042prt.sys","4,096"
"iagpio","Intel Serial IO GPIO Controller Driver","Intel Serial IO GPIO Controller Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","24,576","0","7/23/2018 2:04:46 AM","C:\Windows\system32\drivers\iagpio.sys","4,096"
"iai2c","Intel(R) Serial IO I2C Host Controller","Intel(R) Serial IO I2C Host Controller","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","77,824","0","7/23/2018 2:04:39 AM","C:\Windows\system32\drivers\iai2c.sys","4,096"
"iaLPSS2i_GPIO2","Intel(R) Serial IO GPIO Driver v2","Intel(R) Serial IO GPIO Driver v2","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","45,056","0","4/19/2018 12:53:24 AM","C:\Windows\system32\drivers\iaLPSS2i_GPIO2.sys","4,096"
"iaLPSS2i_GPIO2_BXT_P","Intel(R) Serial IO GPIO Driver v2","Intel(R) Serial IO GPIO Driver v2","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","57,344","0","4/17/2018 2:25:15 AM","C:\Windows\system32\drivers\iaLPSS2i_GPIO2_BXT_P.sys","4,096"
"iaLPSS2i_GPIO2_CNL","Intel(R) Serial IO GPIO Driver v2","Intel(R) Serial IO GPIO Driver v2","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","73,728","0","4/17/2018 12:07:03 AM","C:\Windows\system32\drivers\iaLPSS2i_GPIO2_CNL.sys","4,096"
"iaLPSS2i_GPIO2_GLK","Intel(R) Serial IO GPIO Driver v2","Intel(R) Serial IO GPIO Driver v2","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","57,344","0","5/15/2018 10:46:36 PM","C:\Windows\system32\drivers\iaLPSS2i_GPIO2_GLK.sys","4,096"
"iaLPSS2i_I2C","Intel(R) Serial IO I2C Driver v2","Intel(R) Serial IO I2C Driver v2","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","118,784","0","4/19/2018 12:52:58 AM","C:\Windows\system32\drivers\iaLPSS2i_I2C.sys","4,096"
"iaLPSS2i_I2C_BXT_P","Intel(R) Serial IO I2C Driver v2","Intel(R) Serial IO I2C Driver v2","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","122,880","0","4/17/2018 2:24:40 AM","C:\Windows\system32\drivers\iaLPSS2i_I2C_BXT_P.sys","4,096"
"iaLPSS2i_I2C_CNL","Intel(R) Serial IO I2C Driver v2","Intel(R) Serial IO I2C Driver v2","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","126,976","0","7/14/2019 10:12:12 PM","C:\Windows\system32\drivers\iaLPSS2i_I2C_CNL.sys","4,096"
"iaLPSS2i_I2C_GLK","Intel(R) Serial IO I2C Driver v2","Intel(R) Serial IO I2C Driver v2","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","126,976","0","5/15/2018 10:46:02 PM","C:\Windows\system32\drivers\iaLPSS2i_I2C_GLK.sys","4,096"
"iaLPSSi_GPIO","Intel(R) Serial IO GPIO Controller Driver","Intel(R) Serial IO GPIO Controller Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","12,288","0","2/2/2015 1:00:09 AM","C:\Windows\system32\drivers\iaLPSSi_GPIO.sys","4,096"
"iaLPSSi_I2C","Intel(R) Serial IO I2C Controller Driver","Intel(R) Serial IO I2C Controller Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","90,112","0","2/24/2015 7:52:07 AM","C:\Windows\system32\drivers\iaLPSSi_I2C.sys","4,096"
"iaStorAVC","Intel Chipset SATA RAID Controller","Intel Chipset SATA RAID Controller","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","786,432","0","9/5/2019 5:07:32 AM","C:\Windows\system32\drivers\iaStorAVC.sys","4,096"
"iaStorV","Intel RAID Controller Windows 7","Intel RAID Controller Windows 7","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","364,544","0","4/11/2011 11:48:16 AM","C:\Windows\system32\drivers\iaStorV.sys","8,192"
"ibbus","Mellanox InfiniBand Bus/AL (Filter Driver)","Mellanox InfiniBand Bus/AL (Filter Driver)","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8,192","499,712","0","6/19/2019 6:20:09 AM","C:\Windows\system32\drivers\ibbus.sys","8,192"
"IndirectKmd","Indirect Displays Kernel-Mode Driver","Indirect Displays Kernel-Mode Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","32,768","20,480","0","","C:\Windows\system32\drivers\IndirectKmd.sys","4,096"
"IntcAzAudAddService","Service for Realtek HD Audio (WDM)","Service for Realtek HD Audio (WDM)","Kernel ","Manual","Running","OK","TRUE","FALSE","4,239,360","1,802,240","0","9/9/2025 2:08:51 AM","C:\Windows\system32\DriverStore\FileRepository\hdxacpasus.inf_amd64_63c3672ceb0b1313\RTKVHD64.sys","8,192"
"intelide","intelide","intelide","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","12,288","0","","C:\Windows\system32\drivers\intelide.sys","4,096"
"intelpep","Intel(R) Power Engine Plug-in Driver","Intel(R) Power Engine Plug-in Driver","Kernel ","Boot","Running","OK","TRUE","FALSE","49,152","81,920","0","","C:\Windows\system32\drivers\intelpep.sys","4,096"
"intelpmax","Intel(R) Dynamic Device Peak Power Manager Driver","Intel(R) Dynamic Device Peak Power Manager Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","12,288","16,384","0","","C:\Windows\system32\drivers\intelpmax.sys","4,096"
"IntelPMT","Intel(R) Platform Monitoring Technology Service","Intel(R) Platform Monitoring Technology Service","Kernel ","Boot","Running","OK","TRUE","FALSE","16,384","16,384","0","","C:\Windows\system32\drivers\IntelPMT.sys","4,096"
"intelppm","Intel Processor Driver","Intel Processor Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","139,264","69,632","0","","C:\Windows\system32\drivers\intelppm.sys","12,288"
"iorate","Disk I/O Rate Filter Driver","Disk I/O Rate Filter Driver","Kernel ","Boot","Running","OK","TRUE","FALSE","4,096","36,864","0","","C:\Windows\system32\drivers\iorate.sys","4,096"
"IpFilterDriver","IP Traffic Filter Driver","IP Traffic Filter Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8,192","65,536","0","","C:\Windows\system32\DRIVERS\ipfltdrv.sys","4,096"
"IPMIDRV","IPMIDRV","IPMIDRV","Kernel ","Manual","Stopped","OK","FALSE","FALSE","32,768","57,344","0","","C:\Windows\system32\drivers\IPMIDrv.sys","4,096"
"IPNAT","IP Network Address Translator","IP Network Address Translator","Kernel ","Manual","Stopped","OK","FALSE","FALSE","12,288","188,416","0","","C:\Windows\system32\drivers\ipnat.sys","4,096"
"IPT","IPT","IPT","Kernel ","Manual","Stopped","OK","FALSE","FALSE","32,768","12,288","0","","C:\Windows\system32\drivers\ipt.sys","4,096"
"isapnp","isapnp","isapnp","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","8,192","0","","C:\Windows\system32\drivers\isapnp.sys","4,096"
"iScsiPrt","iScsiPort Driver","iScsiPort Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","53,248","200,704","0","","C:\Windows\system32\drivers\msiscsi.sys","4,096"
"ItSas35i","ItSas35i","ItSas35i","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","159,744","0","3/1/2021 2:15:20 AM","C:\Windows\system32\drivers\ItSas35i.sys","4,096"
"kbdclass","Keyboard Class Driver","Keyboard Class Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","12,288","32,768","0","","C:\Windows\system32\drivers\kbdclass.sys","4,096"
"kbdhid","Keyboard HID Driver","Keyboard HID Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","8,192","32,768","0","","C:\Windows\system32\drivers\kbdhid.sys","4,096"
"kdnic","Microsoft Kernel Debug Network Miniport","Microsoft Kernel Debug Network Miniport","Kernel ","Manual","Running","OK","TRUE","FALSE","8,192","20,480","0","","C:\Windows\system32\drivers\kdnic.sys","4,096"
"kdnic_legacy","Microsoft Kernel Debug Network Miniport (NDIS 6.20)","Microsoft Kernel Debug Network Miniport (NDIS 6.20)","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","16,384","0","","C:\Windows\system32\drivers\kdnic_legacy.sys","4,096"
"KSecDD","KSecDD","KSecDD","Kernel ","Boot","Running","OK","TRUE","FALSE","45,056","69,632","0","","C:\Windows\system32\Drivers\ksecdd.sys","4,096"
"KSecPkg","KSecPkg","KSecPkg","Kernel ","Boot","Running","OK","TRUE","FALSE","73,728","73,728","0","","C:\Windows\system32\Drivers\ksecpkg.sys","4,096"
"KslD","KslD","KslD","Kernel ","Manual","Running","OK","TRUE","FALSE","4,096","53,248","0","","C:\Windows\system32\drivers\wd\KslD.sys","8,192"
"ksthunk","Kernel Streaming Thunks","Kernel Streaming Thunks","Kernel ","Manual","Running","OK","TRUE","FALSE","12,288","20,480","0","","C:\Windows\system32\drivers\ksthunk.sys","4,096"
"lltdio","Link-Layer Topology Discovery Mapper I/O Driver","Link-Layer Topology Discovery Mapper I/O Driver","Kernel ","Auto","Running","OK","TRUE","FALSE","8,192","45,056","0","","C:\Windows\system32\drivers\lltdio.sys","8,192"
"LSI_SAS","LSI_SAS","LSI_SAS","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","90,112","0","3/25/2015 12:36:48 PM","C:\Windows\system32\drivers\lsi_sas.sys","4,096"
"LSI_SAS2i","LSI_SAS2i","LSI_SAS2i","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","98,304","0","8/2/2017 6:29:59 AM","C:\Windows\system32\drivers\lsi_sas2i.sys","4,096"
"LSI_SAS3i","LSI_SAS3i","LSI_SAS3i","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","114,688","0","8/21/2020 12:33:28 AM","C:\Windows\system32\drivers\lsi_sas3i.sys","4,096"
"luafv","UAC File Virtualization","UAC File Virtualization","File System ","Auto","Running","OK","TRUE","FALSE","77,824","28,672","0","","C:\Windows\system32\drivers\luafv.sys","12,288"
"mausbhost","MA-USB Host Controller Driver","MA-USB Host Controller Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8,192","327,680","0","","C:\Windows\system32\drivers\mausbhost.sys","4,096"
"mausbip","MA-USB IP Filter Driver","MA-USB IP Filter Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","45,056","0","","C:\Windows\system32\drivers\mausbip.sys","4,096"
"MbbCx","MBB Network Adapter Class Extension","MBB Network Adapter Class Extension","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8,192","303,104","0","","C:\Windows\system32\drivers\MbbCx.sys","4,096"
"megasas2i","megasas2i","megasas2i","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","61,440","0","1/22/2020 1:57:48 AM","C:\Windows\system32\drivers\MegaSas2i.sys","4,096"
"megasas35i","megasas35i","megasas35i","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","77,824","0","1/11/2021 11:59:10 PM","C:\Windows\system32\drivers\megasas35i.sys","4,096"
"megasr","megasr","megasr","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","434,176","0","6/3/2013 3:02:39 PM","C:\Windows\system32\drivers\megasr.sys","4,096"
"mfeelam","McAfee ELAM Driver","McAfee ELAM Driver","Kernel ","Boot","Stopped","OK","FALSE","FALSE","0","4,096","0","12/4/2025 8:45:11 AM","C:\Windows\system32\DRIVERS\mfeelam.sys","4,096"
"mfesec","McAfee Security Driver","McAfee Security Driver","File System ","Boot","Running","OK","TRUE","FALSE","4,096","40,960","0","4/17/2026 3:32:37 AM","C:\Windows\system32\DRIVERS\mfesec.sys","8,192"
"Microsoft_Bluetooth_AvrcpTransport","Microsoft Bluetooth Avrcp Transport Driver","Microsoft Bluetooth Avrcp Transport Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","28,672","40,960","0","","C:\Windows\system32\drivers\Microsoft.Bluetooth.AvrcpTransport.sys","4,096"
"mlx4_bus","Mellanox ConnectX Bus Enumerator","Mellanox ConnectX Bus Enumerator","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","880,640","0","6/19/2019 6:21:08 AM","C:\Windows\system32\drivers\mlx4_bus.sys","8,192"
"MMCSS","Multimedia Class Scheduler","Multimedia Class Scheduler","Kernel ","Auto","Running","OK","TRUE","FALSE","12,288","24,576","0","","C:\Windows\system32\drivers\mmcss.sys","8,192"
"Modem","Modem","Modem","Kernel ","Manual","Stopped","OK","FALSE","FALSE","32,768","12,288","0","","C:\Windows\system32\drivers\modem.sys","4,096"
"monitor","Microsoft Monitor Class Function Driver Service","Microsoft Monitor Class Function Driver Service","Kernel ","Manual","Running","OK","TRUE","FALSE","45,056","28,672","0","","C:\Windows\system32\drivers\monitor.sys","4,096"
"mouclass","Mouse Class Driver","Mouse Class Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","12,288","32,768","0","","C:\Windows\system32\drivers\mouclass.sys","4,096"
"mouhid","Mouse HID Driver","Mouse HID Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","8,192","24,576","0","","C:\Windows\system32\drivers\mouhid.sys","4,096"
"mountmgr","Mount Point Manager","Mount Point Manager","Kernel ","Boot","Running","OK","TRUE","FALSE","69,632","16,384","0","","C:\Windows\system32\drivers\mountmgr.sys","4,096"
"mpi3drvi","mpi3drvi","mpi3drvi","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","69,632","0","11/16/2021 2:22:38 PM","C:\Windows\system32\drivers\mpi3drvi.sys","4,096"
"mpsdrv","Windows Defender Firewall Authorization Driver","Windows Defender Firewall Authorization Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","4,096","65,536","0","","C:\Windows\system32\drivers\mpsdrv.sys","4,096"
"MRxDAV","WebDav Client Redirector Driver","WebDav Client Redirector Driver","File System ","Manual","Stopped","OK","FALSE","FALSE","114,688","32,768","0","","C:\Windows\system32\drivers\mrxdav.sys","4,096"
"mrxsmb","SMB MiniRedirector Wrapper and Engine","SMB MiniRedirector Wrapper and Engine","File System ","Manual","Running","OK","TRUE","FALSE","94,208","409,600","0","","C:\Windows\system32\DRIVERS\mrxsmb.sys","4,096"
"mrxsmb20","SMB 2.0 MiniRedirector","SMB 2.0 MiniRedirector","File System ","Manual","Running","OK","TRUE","FALSE","28,672","249,856","0","","C:\Windows\system32\DRIVERS\mrxsmb20.sys","4,096"
"MsBridge","Microsoft MAC Bridge","Microsoft MAC Bridge","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8,192","94,208","0","","C:\Windows\system32\drivers\bridge.sys","4,096"
"Msfs","Msfs","Msfs","File System ","System","Running","OK","TRUE","FALSE","28,672","12,288","0","","C:\Windows\system32\drivers\Msfs.sys","4,096"
"msgpiowin32","Common Driver for Buttons, DockMode and Laptop/Slate Indicator","Common Driver for Buttons, DockMode and Laptop/Slate Indicator","Kernel ","Manual","Stopped","OK","FALSE","FALSE","20,480","24,576","0","","C:\Windows\system32\drivers\msgpiowin32.sys","4,096"
"mshidkmdf","Pass-through HID to KMDF Filter Driver","Pass-through HID to KMDF Filter Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","4,096","8,192","0","","C:\Windows\system32\drivers\mshidkmdf.sys","4,096"
"mshidumdf","Pass-through HID to UMDF Driver","Pass-through HID to UMDF Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","8,192","0","","C:\Windows\system32\drivers\mshidumdf.sys","4,096"
"msisadrv","msisadrv","msisadrv","Kernel ","Boot","Running","OK","TRUE","FALSE","4,096","8,192","0","","C:\Windows\system32\drivers\msisadrv.sys","4,096"
"MSKSSRV","Microsoft Streaming Service Proxy","Microsoft Streaming Service Proxy","Kernel ","Manual","Running","OK","TRUE","FALSE","20,480","16,384","0","","C:\Windows\system32\drivers\MSKSSRV.sys","4,096"
"MsLldp","Microsoft Link-Layer Discovery Protocol","Microsoft Link-Layer Discovery Protocol","Kernel ","Auto","Running","OK","TRUE","FALSE","20,480","32,768","0","","C:\Windows\system32\drivers\mslldp.sys","4,096"
"MSPCLOCK","Microsoft Streaming Clock Proxy","Microsoft Streaming Clock Proxy","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","4,096","0","","C:\Windows\system32\drivers\MSPCLOCK.sys","4,096"
"MSPQM","Microsoft Streaming Quality Manager Proxy","Microsoft Streaming Quality Manager Proxy","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","4,096","0","","C:\Windows\system32\drivers\MSPQM.sys","4,096"
"MsQuic","MsQuic","MsQuic","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","307,200","0","","C:\Windows\system32\drivers\msquic.sys","4,096"
"MsQuicPrev","MSQUIC","MSQUIC","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","299,008","0","","C:\Windows\system32\drivers\msquicprev.sys","4,096"
"MsRPC","MsRPC","MsRPC","Kernel ","Manual","Stopped","OK","FALSE","FALSE","274,432","12,288","0","","C:\Windows\system32\drivers\MsRPC.sys","4,096"
"mssmbios","Microsoft System Management BIOS Driver","Microsoft System Management BIOS Driver","Kernel ","System","Running","OK","TRUE","FALSE","8,192","20,480","0","","C:\Windows\system32\drivers\mssmbios.sys","4,096"
"MSTEE","Microsoft Streaming Tee/Sink-to-Sink Converter","Microsoft Streaming Tee/Sink-to-Sink Converter","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8,192","8,192","0","","C:\Windows\system32\drivers\MSTEE.sys","4,096"
"MTConfig","Microsoft Input Configuration Driver","Microsoft Input Configuration Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","4,096","12,288","0","","C:\Windows\system32\drivers\MTConfig.sys","4,096"
"mtkbtacx","MediaTek Bluetooth Audio Device","MediaTek Bluetooth Audio Device","Kernel ","Manual","Running","OK","TRUE","FALSE","61,440","135,168","0","9/17/2025 11:58:42 PM","C:\Windows\system32\DriverStore\FileRepository\mtkbtacx.inf_amd64_83b672d8fe91251d\mtkbtacx.sys","4,096"
"MTKBTFilterx64","MTK BT Filter Driver","MTK BT Filter Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","12,288","499,712","0","12/22/2025 2:18:12 PM","C:\Windows\system32\DriverStore\FileRepository\mtkbtfilter.inf_amd64_5fc6185c7d4a1cf7\mtkbtfilterx.sys","4,096"
"mtkwlex","Mediatek PCI LE Extensible Wireless LAN Card Driver","Mediatek PCI LE Extensible Wireless LAN Card Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","4,096","1,830,912","0","12/22/2025 2:14:19 PM","C:\Windows\system32\DriverStore\FileRepository\mtkwl6ex.inf_amd64_238ff33f3a3d66ae\mtkwl6ex.sys","8,192"
"Mup","Mup","Mup","File System ","Boot","Running","OK","TRUE","FALSE","73,728","28,672","0","","C:\Windows\system32\Drivers\mup.sys","4,096"
"mvumis","mvumis","mvumis","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","20,480","0","5/23/2014 1:39:04 PM","C:\Windows\system32\drivers\mvumis.sys","4,096"
"NativeWifiP","NativeWiFi Filter","NativeWiFi Filter","Kernel ","Manual","Running","OK","TRUE","FALSE","8,192","724,992","0","","C:\Windows\system32\DRIVERS\nwifi.sys","4,096"
"ndfltr","NetworkDirect Service","NetworkDirect Service","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","118,784","0","6/19/2019 6:18:42 AM","C:\Windows\system32\drivers\ndfltr.sys","4,096"
"NDIS","NDIS System Driver","NDIS System Driver","Kernel ","Boot","Running","OK","TRUE","FALSE","331,776","987,136","0","","C:\Windows\system32\drivers\ndis.sys","16,384"
"NdisCap","Microsoft NDIS Capture","Microsoft NDIS Capture","Kernel ","System","Running","OK","TRUE","FALSE","0","32,768","0","","C:\Windows\system32\drivers\ndiscap.sys","4,096"
"NdisImPlatform","Microsoft Network Adapter Multiplexor Protocol","Microsoft Network Adapter Multiplexor Protocol","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","94,208","0","","C:\Windows\system32\drivers\NdisImPlatform.sys","4,096"
"NdisTapi","Remote Access NDIS TAPI Driver","Remote Access NDIS TAPI Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","8,192","16,384","0","","C:\Windows\system32\DRIVERS\ndistapi.sys","4,096"
"Ndisuio","NDIS Usermode I/O Protocol","NDIS Usermode I/O Protocol","Kernel ","Manual","Running","OK","TRUE","FALSE","16,384","40,960","0","","C:\Windows\system32\drivers\ndisuio.sys","4,096"
"NdisVirtualBus","Microsoft Virtual Network Adapter Enumerator","Microsoft Virtual Network Adapter Enumerator","Kernel ","Manual","Running","OK","TRUE","FALSE","8,192","12,288","0","","C:\Windows\system32\drivers\NdisVirtualBus.sys","4,096"
"NdisWan","Remote Access NDIS WAN Driver","Remote Access NDIS WAN Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","86,016","94,208","0","","C:\Windows\system32\drivers\ndiswan.sys","8,192"
"ndiswanlegacy","Remote Access LEGACY NDIS WAN Driver","Remote Access LEGACY NDIS WAN Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","86,016","94,208","0","","C:\Windows\system32\DRIVERS\ndiswan.sys","8,192"
"NDKPerf","NDKPerf Driver","NDKPerf Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","16,384","24,576","0","","C:\Windows\system32\drivers\NDKPerf.sys","4,096"
"NDKPing","NDKPing Driver","NDKPing Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","20,480","36,864","0","","C:\Windows\system32\drivers\NDKPing.sys","4,096"
"ndproxy","NDIS Proxy Driver","NDIS Proxy Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","45,056","36,864","0","","C:\Windows\system32\DRIVERS\NDProxy.sys","4,096"
"Ndu","Windows Network Data Usage Monitoring Driver","Windows Network Data Usage Monitoring Driver","Kernel ","Auto","Running","OK","TRUE","FALSE","8,192","77,824","0","","C:\Windows\system32\drivers\Ndu.sys","4,096"
"NetAdapterCx","Network Adapter WDF Class Extension Library","Network Adapter WDF Class Extension Library","Kernel ","Manual","Running","OK","TRUE","FALSE","20,480","266,240","0","","C:\Windows\system32\drivers\netadaptercx.sys","4,096"
"NetBIOS","NetBIOS Interface","NetBIOS Interface","File System ","System","Running","OK","TRUE","FALSE","20,480","28,672","0","","C:\Windows\system32\drivers\netbios.sys","4,096"
"NetBT","NetBT","NetBT","Kernel ","System","Running","OK","TRUE","FALSE","77,824","208,896","0","","C:\Windows\system32\DRIVERS\netbt.sys","4,096"
"netvsc","netvsc","netvsc","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8,192","253,952","0","","C:\Windows\system32\drivers\netvsc.sys","4,096"
"NetworkPrivacyPolicy","Microsoft Network Privacy Policy Service","Microsoft Network Privacy Policy Service","Kernel ","Auto","Stopped","OK","FALSE","FALSE","4,096","53,248","0","","C:\Windows\system32\DriverStore\FileRepository\networkprivacypolicy.inf_amd64_e708dfdee64c5e0e\NetworkPrivacyPolicy.sys","4,096"
"Npfs","Npfs","Npfs","File System ","System","Running","OK","TRUE","FALSE","53,248","12,288","0","","C:\Windows\system32\drivers\Npfs.sys","4,096"
"npsvctrig","Named pipe service trigger provider","Named pipe service trigger provider","Kernel ","System","Running","OK","TRUE","FALSE","12,288","12,288","0","","C:\Windows\system32\drivers\npsvctrig.sys","4,096"
"nsiproxy","NSI Proxy Service Driver","NSI Proxy Service Driver","Kernel ","System","Running","OK","TRUE","FALSE","8,192","28,672","0","","C:\Windows\system32\drivers\nsiproxy.sys","4,096"
"Ntfs","Ntfs","Ntfs","File System ","Manual","Running","OK","TRUE","FALSE","2,195,456","380,928","0","","C:\Windows\system32\drivers\Ntfs.sys","16,384"
"Null","Null","Null","Kernel ","System","Running","OK","TRUE","FALSE","4,096","12,288","0","","C:\Windows\system32\drivers\Null.sys","4,096"
"nvdimm","Microsoft NVDIMM device driver","Microsoft NVDIMM device driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","32,768","57,344","0","","C:\Windows\system32\drivers\nvdimm.sys","4,096"
"NVHDA","Service for NVIDIA High Definition Audio Driver","Service for NVIDIA High Definition Audio Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","45,056","45,056","0","12/1/2025 7:26:50 AM","C:\Windows\system32\drivers\nvhda64v.sys","4,096"
"nvlddmkm","nvlddmkm","nvlddmkm","Kernel ","Manual","Running","OK","TRUE","FALSE","85,823,488","13,922,304","0","2/8/2026 12:30:54 PM","C:\Windows\system32\DriverStore\FileRepository\nvam.inf_amd64_1470426b1755a4ac\nvlddmkm.sys","40,960"
"nvmedisk","Microsoft NVMe disk driver","Microsoft NVMe disk driver","Kernel ","Boot","Running","OK","TRUE","FALSE","20,480","32,768","0","","C:\Windows\system32\drivers\nvmedisk.sys","4,096"
"nvpcf","NVPCF Service","NVPCF Service","Kernel ","Manual","Running","OK","TRUE","FALSE","8,192","217,088","0","9/6/2025 9:35:04 PM","C:\Windows\system32\drivers\nvpcf.sys","4,096"
"nvraid","nvraid","nvraid","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8,192","90,112","0","4/21/2014 11:28:42 AM","C:\Windows\system32\drivers\nvraid.sys","8,192"
"nvstor","nvstor","nvstor","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","118,784","0","4/21/2014 11:34:03 AM","C:\Windows\system32\drivers\nvstor.sys","4,096"
"nvvad_WaveExtensible","NVIDIA Virtual Audio Device (Wave Extensible) (WDM)","NVIDIA Virtual Audio Device (Wave Extensible) (WDM)","Kernel ","Manual","Running","OK","TRUE","FALSE","20,480","8,192","0","2/28/2024 4:30:52 AM","C:\Windows\system32\drivers\nvvad64v.sys","4,096"
"P9Rdr","Plan 9 Redirector Driver","Plan 9 Redirector Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","81,920","0","","C:\Windows\system32\drivers\p9rdr.sys","4,096"
"Parport","Parallel port driver","Parallel port driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","90,112","0","","C:\Windows\system32\drivers\parport.sys","4,096"
"partmgr","Partition driver","Partition driver","Kernel ","Boot","Running","OK","TRUE","FALSE","53,248","77,824","0","","C:\Windows\system32\drivers\partmgr.sys","4,096"
"pci","PCI Bus Driver","PCI Bus Driver","Kernel ","Boot","Running","OK","TRUE","FALSE","233,472","217,088","0","","C:\Windows\system32\drivers\pci.sys","12,288"
"pciide","pciide","pciide","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","8,192","0","","C:\Windows\system32\drivers\pciide.sys","4,096"
"pcmcia","pcmcia","pcmcia","Kernel ","Manual","Stopped","OK","FALSE","FALSE","45,056","53,248","0","","C:\Windows\system32\drivers\pcmcia.sys","8,192"
"pcw","Performance Counters for Windows Driver","Performance Counters for Windows Driver","Kernel ","Boot","Running","OK","TRUE","FALSE","45,056","8,192","0","","C:\Windows\system32\drivers\pcw.sys","4,096"
"pdc","pdc","pdc","Kernel ","Boot","Running","OK","TRUE","FALSE","94,208","32,768","0","","C:\Windows\system32\drivers\pdc.sys","8,192"
"PEAUTH","PEAUTH","PEAUTH","Kernel ","Auto","Running","OK","TRUE","FALSE","577,536","151,552","0","","C:\Windows\system32\drivers\peauth.sys","4,096"
"percsas2i","percsas2i","percsas2i","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","40,960","0","3/14/2016 5:50:11 PM","C:\Windows\system32\drivers\percsas2i.sys","4,096"
