"DeviceName","Manufacturer","DriverVersion","InfName","DeviceID"
"PCI Express Root Port","(Standard system devices)","10.0.26100.8737","pci.inf","PCI\VEN_1022&DEV_14DB&SUBSYS_10541043&REV_00\3&11583659&0&11"
"PCI Express Root Port","(Standard system devices)","10.0.26100.8737","pci.inf","PCI\VEN_1022&DEV_14DB&SUBSYS_10541043&REV_00\3&11583659&0&09"
"PCI Express Root Port","(Standard system devices)","10.0.26100.8737","pci.inf","PCI\VEN_1022&DEV_14DD&SUBSYS_14DD1022&REV_00\3&11583659&0&43"
"PCI Express Upstream Switch Port","(Standard system devices)","10.0.26100.8737","pci.inf","PCI\VEN_1B21&DEV_2421&SUBSYS_20AF1043&REV_01\U451ECAFFFF5177A000"
"PCI standard host CPU bridge","(Standard system devices)","10.0.26100.1150","machine.inf","PCI\VEN_1022&DEV_14D8&SUBSYS_10541043&REV_00\3&11583659&0&00"
"PCI standard host CPU bridge","(Standard system devices)","10.0.26100.1150","machine.inf","PCI\VEN_1022&DEV_14DA&SUBSYS_00000000&REV_00\3&11583659&0&20"
"PCI standard host CPU bridge","(Standard system devices)","10.0.26100.1150","machine.inf","PCI\VEN_1022&DEV_14DA&SUBSYS_00000000&REV_00\3&11583659&0&40"
"PCI standard host CPU bridge","(Standard system devices)","10.0.26100.1150","machine.inf","PCI\VEN_1022&DEV_14DA&SUBSYS_00000000&REV_00\3&11583659&0&08"
"PCI standard host CPU bridge","(Standard system devices)","10.0.26100.1150","machine.inf","PCI\VEN_1022&DEV_14E4&SUBSYS_00000000&REV_00\3&11583659&0&C4"
"PCI standard host CPU bridge","(Standard system devices)","10.0.26100.1150","machine.inf","PCI\VEN_1022&DEV_14E3&SUBSYS_00000000&REV_00\3&11583659&0&C3"
"PCI standard host CPU bridge","(Standard system devices)","10.0.26100.1150","machine.inf","PCI\VEN_1022&DEV_14E5&SUBSYS_00000000&REV_00\3&11583659&0&C5"
"PCI standard host CPU bridge","(Standard system devices)","10.0.26100.1150","machine.inf","PCI\VEN_1022&DEV_14E6&SUBSYS_00000000&REV_00\3&11583659&0&C6"
"PCI standard host CPU bridge","(Standard system devices)","10.0.26100.1150","machine.inf","PCI\VEN_1022&DEV_14DA&SUBSYS_00000000&REV_00\3&11583659&0&10"
"PCI standard host CPU bridge","(Standard system devices)","10.0.26100.1150","machine.inf","PCI\VEN_1022&DEV_14E7&SUBSYS_00000000&REV_00\3&11583659&0&C7"
"PCI standard host CPU bridge","(Standard system devices)","10.0.26100.1150","machine.inf","PCI\VEN_1022&DEV_14DA&SUBSYS_00000000&REV_00\3&11583659&0&18"
"PCI standard host CPU bridge","(Standard system devices)","10.0.26100.1150","machine.inf","PCI\VEN_1022&DEV_14E0&SUBSYS_00000000&REV_00\3&11583659&0&C0"
"PCI standard host CPU bridge","(Standard system devices)","10.0.26100.1150","machine.inf","PCI\VEN_1022&DEV_14E2&SUBSYS_00000000&REV_00\3&11583659&0&C2"
"PCI standard host CPU bridge","(Standard system devices)","10.0.26100.1150","machine.inf","PCI\VEN_1022&DEV_14E1&SUBSYS_00000000&REV_00\3&11583659&0&C1"
"PCI standard ISA bridge","(Standard system devices)","10.0.26100.1150","machine.inf","PCI\VEN_1022&DEV_790E&SUBSYS_10541043&REV_51\3&11583659&0&A3"
"PIXART TouchPad","PIXART","10.1.2.3","oem141.inf","UEFI\RES_{2E392F2C-1F76-3DA9-9953-344F44215CDC}\0"
"Plug and Play Software Device Enumerator","(Standard system devices)","10.0.26100.4202","swenum.inf","ROOT\SYSTEM\0000"
"Programmable interrupt controller","(Standard system devices)","10.0.26100.1150","machine.inf","ACPI\PNP0000\4&2CA764C4&0"
"Realtek Asio Component","Realtek","1.0.13.1","oem88.inf","SWD\DRIVERENUM\{C3A63EDD-2D27-4B66-B155-5E94B43D926A}#REALTEKASIO&6&2A60BCD6&0"
"Realtek Audio Effects Component","Realtek","13.3529.1929.638","oem126.inf","SWD\DRIVERENUM\{C3A63EDD-2D27-4B66-B155-5E94B43D926A}#REALTEKAPO&6&2A60BCD6&0"
"Realtek Audio Effects Component","Realtek","13.3529.1929.638","oem126.inf","SWD\DRIVERENUM\{C3A63EDD-2D27-4B66-B155-5E94B43D926A}#REALTEKINTAPO&6&2A60BCD6&0"
"Realtek Audio Universal Service","Realtek","1.0.898.8","oem123.inf","SWD\DRIVERENUM\{C3A63EDD-2D27-4B66-B155-5E94B43D926A}#REALTEKSRV&6&2A60BCD6&0"
"Realtek Hardware Support Application","Realtek","11.0.6000.376","oem121.inf","SWD\DRIVERENUM\{C3A63EDD-2D27-4B66-B155-5E94B43D926A}#REALTEKHSA&6&2A60BCD6&0"
"Realtek High Definition Audio","Microsoft","6.0.9885.1","oem142.inf","HDAUDIO\FUNC_01&VEN_10EC&DEV_0294&SUBSYS_10433E00&REV_1000\5&1E220BA&0&0001"
"Realtek OVWrap2 Component","Realtek","11.0.6000.50","oem124.inf","SWD\DRIVERENUM\{C3A63EDD-2D27-4B66-B155-5E94B43D926A}#REALTEKOVWRAP2&6&2A60BCD6&0"
"Realtek PCIe GbE Family Controller","Realtek","1168.20.729.2024","oem5.inf","PCI\VEN_10EC&DEV_8168&SUBSYS_208F1043&REV_15\01000000684CE00000"
"Remote Desktop Device Redirector Bus","Microsoft","10.0.26100.8737","rdpbus.inf","ROOT\RDPBUS\0000"
